feature_set,model_type,test_year,num_matches,accuracy,log_loss,brier_score
full,xgboost,2009,3085,0.6567260940032414,0.6222964973542269,0.2146062978893492
full,xgboost,2010,3030,0.6897689768976898,0.5963650663554552,0.20409649156636228
full,xgboost,2011,3015,0.6888888888888889,0.583017422598982,0.2002671378948326
full,xgboost,2012,3009,0.7068793619142573,0.5569790711101522,0.18880295241600803
full,xgboost,2013,27,0.6666666666666666,0.6256126575384868,0.21752724292075717
full,xgboost,2014,2874,0.6854558107167711,0.5911602061999354,0.2026305773882331
full,xgboost,2015,2945,0.698811544991511,0.570646469838069,0.1948366771004896
full,xgboost,2016,2970,0.6912457912457912,0.5803734494912842,0.19889045710298217
full,xgboost,2017,2936,0.6679155313351499,0.6023168560355164,0.20753140541454437
full,xgboost,2018,3011,0.6542676851544338,0.6200354924838557,0.21556003873674018
full,xgboost,2019,2721,0.6420433664094083,0.6264446897426468,0.21855913713871977
full,xgboost,2020,1466,0.6718963165075034,0.6017986161970966,0.20850849734031868
full,xgboost,2021,2735,0.656672760511883,0.6170117566800356,0.21445026669904746
full,xgboost,2022,2918,0.6614119259766964,0.6016336494305032,0.2081793073490411
full,xgboost,2023,2995,0.6590984974958264,0.6150534439797708,0.21402089976556063
full,xgboost,2024,3159,0.654320987654321,0.612375082666566,0.21312488940009125
full,xgboost,2025,2861,0.6532680880810905,0.6225722113742672,0.21650472589972175
elo_only,xgboost,2009,3085,0.6538087520259319,0.6261205035920522,0.21568148613743016
elo_only,xgboost,2010,3030,0.634983498349835,0.658673536635614,0.2263938579504415
elo_only,xgboost,2011,3015,0.6480928689883914,0.6318747530089956,0.22065473330412289
elo_only,xgboost,2012,3009,0.6623462944499834,0.5982164903657089,0.20613694661569373
elo_only,xgboost,2013,27,0.7037037037037037,0.6697144385631596,0.22375618233256023
elo_only,xgboost,2014,2874,0.6287404314544189,0.6433921620080827,0.22465978293273622
elo_only,xgboost,2015,2945,0.6468590831918506,0.6225928214852251,0.2175160197407272
elo_only,xgboost,2016,2970,0.6276094276094276,0.6410199051855632,0.22419783228567833
elo_only,xgboost,2017,2936,0.603542234332425,0.6614095937921076,0.23313450236927663
elo_only,xgboost,2018,3011,0.5998007306542676,0.664244328414437,0.23505819024044494
elo_only,xgboost,2019,2721,0.6012495406100699,0.6709569601828806,0.23774140911755198
elo_only,xgboost,2020,1466,0.6180081855388813,0.6627738496416944,0.23480306411186938
elo_only,xgboost,2021,2735,0.5981718464351006,0.6684993727184133,0.23691228728634897
elo_only,xgboost,2022,2918,0.6192597669636738,0.6556137090350103,0.23094697376084572
elo_only,xgboost,2023,2995,0.601669449081803,0.6662518360048723,0.2364283392750468
