feature_set,model_type,test_year,num_matches,accuracy,log_loss,brier_score
full,xgboost,2009,3085,0.6567260940032414,0.6222964973542269,0.2146062978893492
full,xgboost,2010,3030,0.6897689768976898,0.5963650663554552,0.20409649156636228
full,xgboost,2011,3015,0.6888888888888889,0.583017422598982,0.2002671378948326
full,xgboost,2012,3009,0.7068793619142573,0.5569790711101522,0.18880295241600803
full,xgboost,2013,27,0.6666666666666666,0.6256126575384868,0.21752724292075717
full,xgboost,2014,2874,0.6854558107167711,0.5911602061999354,0.2026305773882331
full,xgboost,2015,2945,0.698811544991511,0.570646469838069,0.1948366771004896
full,xgboost,2016,2970,0.6912457912457912,0.5803734494912842,0.19889045710298217
full,xgboost,2017,2936,0.6679155313351499,0.6023168560355164,0.20753140541454437
full,xgboost,2018,3011,0.6542676851544338,0.6200354924838557,0.21556003873674018
full,xgboost,2019,2721,0.6420433664094083,0.6264446897426468,0.21855913713871977
full,xgboost,2020,1466,0.6718963165075034,0.6017986161970966,0.20850849734031868
full,xgboost,2021,2735,0.656672760511883,0.6170117566800356,0.21445026669904746
full,xgboost,2022,2918,0.6614119259766964,0.6016336494305032,0.2081793073490411
full,xgboost,2023,2995,0.6590984974958264,0.6150534439797708,0.21402089976556063
full,xgboost,2024,3159,0.654320987654321,0.612375082666566,0.21312488940009125
full,xgboost,2025,2861,0.6532680880810905,0.6225722113742672,0.21650472589972175
